Order,Family,Species,IUCN Red List Category (Europe),IUCN Red List Criteria (Europe),IUCN Red List Category (EU 27),IUCN Red List Criteria (EU 27),Endemic to Europe?,Endemic to EU 27?
SQUAMATA,SCINCIDAE,Chalcides parallelus,NA,,NA,,,
SQUAMATA,SCINCIDAE,Chalcides sexlineatus,LC,,LC,,Yes,Yes
SQUAMATA,SCINCIDAE,Chalcides simonyi,EN,B1ab(iii),EN,B1ab(iii),Yes,Yes
SQUAMATA,SCINCIDAE,Chalcides striatus,LC,,LC,,Yes,Yes
SQUAMATA,SCINCIDAE,Chalcides viridanus,LC,,LC,,Yes,Yes
SQUAMATA,SCINCIDAE,Eumeces schneideri,LC,,LC,,,
SQUAMATA,SCINCIDAE,Ophiomorus punctatissimus,LC,,LC,,,
SQUAMATA,SCINCIDAE,Trachylepis aurata,NA,,NA,,,
SQUAMATA,SCINCIDAE,Trachylepis vittata,LC,,LC,,,
SQUAMATA,TROGONOPHIDAE,Trogonophis wiegmanni,NE,,NA,,,
SQUAMATA,TYPHLOPIDAE,Typhlops vermicularis,LC,,LC,,,
SQUAMATA,VIPERIDAE,Gloydius halys,NA,,NE,,,
SQUAMATA,VIPERIDAE,Macrovipera lebetina,LC,,LC,,,
SQUAMATA,VIPERIDAE,Macrovipera schweizeri,EN,"B1ab(iii,v)",EN,"B1ab(iii,v)",Yes,Yes
SQUAMATA,VIPERIDAE,Montivipera xanthina,LC,,LC,,,
SQUAMATA,VIPERIDAE,Vipera ammodytes,LC,,LC,,,
SQUAMATA,VIPERIDAE,Vipera aspis,LC,,LC,,Yes,
SQUAMATA,VIPERIDAE,Vipera berus,LC,,LC,,Yes,
SQUAMATA,VIPERIDAE,Vipera latastei,VU,A2c,VU,A2c,,
SQUAMATA,VIPERIDAE,Vipera renardi,VU,A1c+2c,NE,,,
SQUAMATA,VIPERIDAE,Vipera seoanei,LC,,LC,,Yes,Yes
SQUAMATA,VIPERIDAE,Vipera ursinii,VU,B2ab(iii),VU,B2ab(iii),Yes,
TESTUDINES,EMYDIDAE,Emys orbicularis,NT,,VU,A2bcde,,
TESTUDINES,EMYDIDAE,Emys trinacris,DD,,DD,,Yes,Yes
TESTUDINES,GEOEMYDIDAE,Mauremys leprosa,VU,A2ac +3c,VU,A2ac +3c,,
TESTUDINES,GEOEMYDIDAE,Mauremys rivulata,LC,,LC,,,
TESTUDINES,TESTUDINIDAE,Testudo graeca,VU,A2bcde +4bcde,VU,A2bcde +4bcde,,
TESTUDINES,TESTUDINIDAE,Testudo hermanni,NT,,NT,,Yes,
TESTUDINES,TESTUDINIDAE,Testudo marginata,LC,,LC,,Yes,
TESTUDINES,TRIONYCHIDAE,Trionyx triunguis,NA,,NA,,,
